row_number,Timestamp,Resource,User,Action,is_anomaly,decision_scores,why_anomoly_timestamp,why_anomoly_Resource,why_anomoly_User,why_anomoly_Action
0,2023-03-21 16:30:00,bucket/search,Lora Durbann,CREATE,True,-0.07680487822924764,0.6964488750239688,-1.0060280104254289,0.31650110509536317,-0.6355357598777691
1,2023-03-21 16:30:00,bucket/movieDetails,Rand Bram,READ,True,-0.033541209793988336,0.7974502414198867,0.3461653744167305,-0.04982616006431842,0.405033446578244
2,2023-03-21 16:30:00,bucket/search,Perceval Dallosso,CREATE,True,-0.09566429973798718,0.6954744027744583,-1.0256881426962479,0.0530151967737132,-0.6381809324459843
3,2023-03-21 16:30:00,bucket/movieDetails,Aleda Pigram,DELETE,True,-0.024109358659054614,0.6971353801738933,0.3421896011691222,-1.1466509287029303,0.09567820654130953
4,2023-03-21 16:30:00,bucket/search,Burlie Schustl,WRITE,True,-0.08009371174080404,0.6276102868782525,-0.9834664623053845,-0.2297136866521853,-0.6555097189651483
5,2023-03-21 16:30:00,bucket/movieDetails,Porty Jori,READ,True,-0.03413791597290927,0.7936681161218395,0.3407762086187374,-0.07722206693439675,0.40756779464501003
6,2023-03-21 16:30:00,bucket/search,Briant De La Haye,WRITE,True,-0.08009371174080404,0.618999404816319,-0.9890094899363856,-0.29449253222897787,-0.6652612572619766
7,2023-03-21 16:30:00,bucket/playback,Kalie Scoble,WRITE,True,-0.03801030092091895,0.7437878842471994,0.42565220035781365,0.37595950471688533,-0.4963228770985047
8,2023-03-21 16:30:00,bucket/movieDetails,Catriona Beaument,DELETE,False,0.002199501051445285,0.7870301249569436,0.28286624686112144,-0.07632145442617852,0.1164223032292427
9,2023-03-21 16:22:00,bucket/playback,Amberly Handling,DELETE,True,-0.00470086957282978,0.6952424533478992,0.3568348731525842,-0.8857545396195928,0.184605399392713
10,2023-03-21 16:22:00,bucket/movieDetails,Dyna De'Vere - Hunt,UPDATE,False,0.01828786235110824,0.8141949359934922,0.34417947272379024,0.3425297250214151,0.32776295033432934
11,2023-03-21 16:21:00,bucket/movieDetails,Janella Hardaker,UPDATE,False,0.0022613337174132164,0.7964458775380522,0.3484114970135014,0.35473123942404794,0.31006411945019924
12,2023-03-21 16:21:00,bucket/search,Alvin Wenzel,READ,True,-0.05439260515396427,0.6639385046731703,-1.016082381274242,-1.0848788636723035,0.3176893060901897
13,2023-03-21 16:20:00,bucket/search,Jerrine Peeters,WRITE,True,-0.07807132054897103,0.6589177778465052,-1.0692274215495006,0.2686654778958631,-0.6201616921228399
14,2023-03-21 16:20:00,bucket/playback,Warner Driutti,DELETE,True,-0.06847774004921381,0.7071585082547891,0.30980733609612876,-0.9069643296582552,0.09047692124511074
15,2023-03-21 16:19:00,bucket/playback,Paige Hayhow,WRITE,True,-0.07065647921219653,0.7479758371075017,0.44338455325730947,0.15870682527482982,-0.4269904452745613
16,2023-03-21 16:19:00,bucket/search,Dorisa Skill,CREATE,True,-0.061194630207570766,0.6901310502433803,-1.0952810748190236,0.21601324000092467,-0.6240630673009074
17,2023-03-21 16:19:00,bucket/search,Bobbye Patmore,CREATE,True,-0.07509460442922467,0.668313724028498,-0.9836000962801561,-0.2230551648552262,-0.5800797384162713
18,2023-03-21 16:19:00,bucket/playback,Jayme Dairton,CREATE,True,-0.014624587013885137,0.7632869246894298,0.3482692409378824,0.42415448107545606,-0.6201826015884772
19,2023-03-21 16:18:00,bucket/playback,Sayre Stroyan,DELETE,True,-0.04750675475890809,0.7516033236071755,0.3317342449989542,-0.17405292184819318,0.04131505575172296
20,2023-03-21 16:18:00,bucket/search,Joellyn Stutter,CREATE,True,-0.07360949672297268,0.6838736263877108,-1.017562035771006,0.3070203174230019,-0.6225896627315661
21,2023-03-21 16:18:00,bucket/search,Julietta Delahunt,READ,True,-0.03873174825285641,0.7537570356211533,-0.9638803989106838,0.4002221890049958,0.4664671542755633
22,2023-03-21 16:18:00,bucket/browseTitles,Halie Jewar,READ,False,0.002504361130160948,0.8683952598216131,0.17981818942322375,0.5094735070444146,0.43660368309855213
23,2023-03-21 16:18:00,bucket/profilesGate,Jessamyn Buddles,WRITE,True,-0.05957587978338508,0.7326363072389307,-0.16213746135866047,0.3034804959467091,-0.5050195924508252
24,2023-03-21 16:18:00,bucket/browseTitles,Clevie Clubbe,CREATE,True,-0.03126577047080248,0.7826804298213352,0.2089027332108053,0.13989695740799196,-0.5253403898580864
25,2023-03-20 13:59:00,bucket/playback,Magdalen Claiden,WRITE,True,-0.051530099339236246,0.764109902864952,0.42302324698431876,0.3732057853276013,-0.46725847224058453
26,2023-03-20 13:59:00,bucket/browseTitles,Celina Boothebie,DELETE,False,0.004989103338991274,0.8395576716582691,0.1675966605289719,-0.03947393424692714,0.1746116639346473
27,2023-03-20 13:59:00,bucket/playback,Murvyn Duff,DELETE,True,-0.022481691328083198,0.7993441149343231,0.2917499713623113,0.1390043844590816,0.0030074252440932623
28,2023-03-20 13:59:00,bucket/browseTitles,Lyndsie Dyball,WRITE,True,-0.06719941688705833,0.813417188634182,0.14731737142283158,0.3517246476096283,-0.5870418435240866
29,2023-03-20 13:58:00,bucket/browseTitles,Ashlie Rotham,READ,True,-0.013778389361061905,0.841211957462462,0.16232876035315505,-0.7653893832615717,0.4263995187661984
30,2023-03-20 13:58:00,bucket/playback,Gardiner Ferbrache,WRITE,True,-0.02468717412230559,0.739129602564522,0.4246347829729996,0.385003708592053,-0.5910380262705731
31,2023-03-20 13:58:00,bucket/profilesGate,Rudolph Housbie,UPDATE,True,-0.04231548982450872,0.8266281000374058,-0.24975598704334465,-0.025144215245463536,0.2848401896089112
32,2023-03-20 13:58:00,bucket/browseTitles,Dun Craythorn,WRITE,True,-0.037059500534223244,0.7800486051859469,0.12360096190664961,0.22805448397561878,-0.6553596430026786
33,2023-03-20 08:41:00,bucket/playback,Dasha Eppson,UPDATE,False,0.0359952188671121,0.8202530888766864,0.3812508269062136,0.1971406252839669,0.3313540142313558
34,2023-03-20 08:40:00,bucket/search,Bibby Evershed,CREATE,True,-0.07637383902492145,0.7330547652340422,-0.9796184894675501,-0.22885229353079833,-0.5908410257723984
35,2023-03-20 08:40:00,bucket/browseTitles,Ransom Chippindale,READ,True,-0.04959671841790436,0.8568976756070626,0.1703920431861387,-0.039439125001229404,0.41039278645316984
36,2023-03-20 08:40:00,bucket/search,Zelig Brinded,CREATE,True,-0.12283875764880381,0.651946823283307,-0.8052442722658055,-1.324468555669177,-0.6608223413934915
37,2023-03-20 08:38:00,bucket/accountMenu,Rosalyn Vondrys,WRITE,True,-0.1001856379160988,0.715337967546486,-1.4769992917025283,0.061646848171715646,-0.44045040856004264
38,2023-03-20 08:38:00,bucket/browseTitles,Lamond Ahmed,CREATE,True,-0.03275441525028988,0.798527749487525,0.1347381470376923,0.3229314814338326,-0.6824759511925614
